organism,year,mean_team_size,intl_collab_rate
arabidopsis,1990,3.3974358974358974,0.02564102564102564
arabidopsis,1991,3.3233082706766917,0.07518796992481203
arabidopsis,1992,3.6491228070175437,0.011695906432748537
arabidopsis,1993,3.8465608465608465,0.031746031746031744
arabidopsis,1994,3.774468085106383,0.03404255319148936
arabidopsis,1995,3.6385964912280704,0.03508771929824561
arabidopsis,1996,3.7087628865979383,0.061855670103092786
arabidopsis,1997,3.7583732057416266,0.0645933014354067
arabidopsis,1998,3.8531468531468533,0.09265734265734266
arabidopsis,1999,4.084192439862543,0.10481099656357389
arabidopsis,2000,4.186462324393359,0.08556832694763729
arabidopsis,2001,4.063973063973064,0.11335578002244669
arabidopsis,2002,4.262455516014235,0.12544483985765126
arabidopsis,2003,4.261016949152542,0.12203389830508475
arabidopsis,2004,4.58943661971831,0.12464788732394366
arabidopsis,2005,4.735372340425532,0.12699468085106383
arabidopsis,2006,4.729698375870069,0.1583526682134571
arabidopsis,2007,4.70625,0.15989583333333332
arabidopsis,2008,4.798910576486609,0.1575124829777576
arabidopsis,2009,4.971119133574007,0.17328519855595667
arabidopsis,2010,4.964579901153212,0.18327841845140033
arabidopsis,2011,4.9728260869565215,0.18985507246376812
arabidopsis,2012,5.045824847250509,0.19110658520027154
arabidopsis,2013,5.249015449863678,0.19206301120872463
arabidopsis,2014,5.371298405466971,0.21184510250569477
arabidopsis,2015,5.62444302991725,0.18109484404837684
arabidopsis,2016,6.077803203661327,0.1961425302386401
arabidopsis,2017,6.030650050522062,0.2185921185584372
arabidopsis,2018,6.094970218398411,0.23097286565188616
arabidopsis,2019,6.03458556946929,0.22420989862850327
arabidopsis,2020,6.590769230769231,0.23468531468531467
arabidopsis,2021,6.743669985775249,0.23783783783783785
arabidopsis,2022,7.293125,0.235625
arabidopsis,2023,7.1254806011883955,0.2436211114994757
arabidopsis,2024,7.3349108117946855,0.20495085547870404
barley,1990,2.6338582677165356,0.01968503937007874
barley,1991,2.6477732793522266,0.03643724696356275
barley,1992,2.931899641577061,0.04659498207885305
barley,1993,2.8725868725868726,0.05791505791505792
barley,1994,2.908333333333333,0.0375
barley,1995,3.10989010989011,0.07326007326007326
barley,1996,3.115830115830116,0.05405405405405406
barley,1997,3.3102040816326532,0.07755102040816327
barley,1998,3.272357723577236,0.07317073170731707
barley,1999,3.425925925925926,0.1
barley,2000,3.286231884057971,0.057971014492753624
barley,2001,3.3798701298701297,0.07792207792207792
barley,2002,3.6802325581395348,0.09011627906976744
barley,2003,3.7532808398950133,0.07611548556430446
barley,2004,3.7017114914425426,0.10268948655256724
barley,2005,3.525714285714286,0.09428571428571429
barley,2006,3.782178217821782,0.11386138613861387
barley,2007,3.517391304347826,0.07608695652173914
barley,2008,3.49031007751938,0.09689922480620156
barley,2009,3.43598615916955,0.09688581314878893
barley,2010,4.347014925373134,0.1287313432835821
barley,2011,4.025510204081633,0.12585034013605442
barley,2012,3.798789712556732,0.12102874432677761
barley,2013,3.890092879256966,0.10526315789473684
barley,2014,4.0590909090909095,0.1303030303030303
